sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Predicted size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Predicted size (seq)	True positives (seq)	True size (seq)
pool	485255	Natranaerobiaceae	family			3934	0				1	0	
pool	1813606	Balneolaceae	family			22391	0				1	0	
pool	622451	Actinopolysporaceae	family			27543	0				2	0	
pool	1334117	Melioribacteraceae	family			4700	0				1	0	
pool	414713	Actinospicaceae	family			6537	0				2	0	
pool	267889	Colwelliaceae	family			124146	0				3	0	
pool	213468	Syntrophaceae	family			26279	0				2	0	
pool	85020	Dermabacteraceae	family			36179	0				2	0	
pool	1890464	Chroococcaceae	family			15290	0				1	0	
pool	92713	Parachlamydiaceae	family			86492	0				1	0	
pool	9726	Delphinidae	family			19248	0				1	0	
pool	3745	Rosaceae	family			1521	0				1	0	
pool	3650	Cucurbitaceae	family			9521	0				1	0	
pool	1706373	Microbulbiferaceae	family			10941	0				1	0	
pool	568386	Sinobacteraceae	family			4852	0				1	0	
pool	9632	Ursidae	family			22223	0				1	0	
pool	654128	Marasmiaceae	family			3889	0				1	0	
pool	224463	Nannocystaceae	family			25365	0				1	0	
pool	85033	Sporichthyaceae	family			1344	0				1	0	
pool	119500	Lipotidae	family			32830	0				1	0	
pool	9527	Cercopithecidae	family			51001	0				1	0	
pool	31984	Heliobacteriaceae	family			10537	0				1	0	
