sample_id	Taxon ID	Scientific name	Taxonomic rank	Purity (bp)	Completeness (bp)	Predicted size (bp)	True positives (bp)	True size (bp)	Purity (seq)	Completeness (seq)	Predicted size (seq)	True positives (seq)	True size (seq)
pool	2304686	Hungateiclostridiaceae	family	0.0		1332716	0		0.0		20	0	
pool	213422	Geobacteraceae	family	0.9174605002845606	0.9867207864729257	3837496	3520751	3568133.0	0.9545454545454546	0.875	44	42	48.0
pool	171551	Porphyromonadaceae	family	0.9496740053840002	0.9743720849934929	4504829	4278119	4390642.0	0.9798657718120806	0.9733333333333334	149	146	150.0
pool	1853232	Hymenobacteraceae	family	0.9902627834388286	0.9653492012753366	8920311	8833452	9150525.0	0.95	0.6951219512195121	60	57	82.0
pool	1643826	Eggerthellaceae	family	0.996213808223465	0.9635522735485142	2786441	2775891	2880893.0	0.9629629629629629	0.6666666666666666	27	26	39.0
pool	1268	Micrococcaceae	family	0.9912596049781092	0.9550722952388407	41834036	41468390	43419111.0	0.9855334538878843	0.6235697940503433	553	545	874.0
pool	1903410	Pectobacteriaceae	family	0.9932278892198726	0.9517016755084845	8541207	8483365	8913891.0	0.8958333333333334	0.7818181818181819	96	86	110.0
pool	186822	Paenibacillaceae	family	0.9792056963508815	0.9505122562270879	59963441	58716543	61773578.0	0.9716312056737588	0.6699266503667481	564	548	818.0
pool	84642	Aeromonadaceae	family	0.9868298683573677	0.9453367434569102	3578476	3531347	3735544.0	0.9361702127659575	0.7586206896551724	47	44	58.0
pool	213119	Desulfobacteraceae	family	0.9804656822691767	0.9448368319201129	53923204	52869851	55956594.0	0.9838492597577388	0.8871359223300971	743	731	824.0
pool	41297	Sphingomonadaceae	family	0.9755168711880039	0.9377712626712761	161950747	157985686	168469319.0	0.9434737923946557	0.6671511627906976	973	918	1376.0
pool	119060	Burkholderiaceae	family	0.5570458565396	0.9364835637466338	11429384	6366691	6798508.0	0.3614457831325301	0.5607476635514018	166	60	107.0
pool	72294	Campylobacteraceae	family	0.9826381185782503	0.9364823610623726	1735411	1705281	1820943.0	0.9782608695652174	0.7258064516129032	46	45	62.0
pool	32033	Xanthomonadaceae	family	0.9862545362594729	0.9309619207304429	78342355	77265503	82995342.0	0.930835734870317	0.6181818181818182	694	646	1045.0
pool	186807	Peptococcaceae	family	0.9809229968483857	0.930880317341422	23309007	22864341	24562063.0	0.9794721407624634	0.7971360381861575	341	334	419.0
pool	69277	Phyllobacteriaceae	family	0.8184719672690844	0.9246585183825913	41310424	33811424	36566390.0	0.8345070422535211	0.6546961325966851	284	237	362.0
pool	85017	Promicromonosporaceae	family	1.0	0.9236440163712186	9443148	9443148	10223796.0	1.0	0.6741573033707865	60	60	89.0
pool	31989	Rhodobacteraceae	family	0.9707622474135547	0.9216756769710331	62598074	60767847	65931920.0	0.9387442572741195	0.6452631578947369	653	613	950.0
pool	75682	Oxalobacteraceae	family	0.9859409826744243	0.914235838718054	39676315	39118505	42788199.0	0.9233716475095786	0.37715179968701096	261	241	639.0
pool	82115	Rhizobiaceae	family	0.8857107931081374	0.8972749844191933	236360543	209347084	233314299.0	0.9340498290180752	0.6373333333333333	2047	1912	3000.0
pool	49546	Flavobacteriaceae	family	0.981102855864746	0.8923880187827423	128233874	125810620	140981969.0	0.9782797567332754	0.5926315789473684	1151	1126	1900.0
pool	2070	Pseudonocardiaceae	family	0.9935703464668367	0.8862073509150278	76870705	76376453	86183502.0	0.9295392953929539	0.6846307385229541	369	343	501.0
pool	186804	Peptostreptococcaceae	family	0.8649266520262935	0.7576547098285996	5406966	4676629	6172507.0	0.7469879518072289	0.6526315789473685	83	62	95.0
pool	2008794	Zoogloeaceae	family	0.8818767905876772	0.688954549731047	3828003	3375827	4899927.0	0.8305084745762712	0.3769230769230769	59	49	130.0
pool	541000	Ruminococcaceae	family	0.7679685601740922	0.3355632631176685	4510712	3464085	10323195.0	0.7272727272727273	0.20253164556962025	44	32	158.0
pool	1653	Corynebacteriaceae	family			82015	0				7	0	
pool	85030	Geodermatophilaceae	family	0.9959196773330655	0.8776522492388031	8044952	8012126	9129044.0	0.9411764705882353	0.5161290322580645	51	48	93.0
pool	76892	Caulobacteraceae	family	0.9882044978751644	0.8479592912888546	46645492	46095285	54360257.0	0.9708029197080292	0.533066132264529	274	266	499.0
pool	80864	Comamonadaceae	family	0.9904513472522491	0.8032815341488045	137995279	136677610	170149075.0	0.9673507462686567	0.49310508796956726	1072	1037	2103.0
pool	31979	Clostridiaceae	family	0.7394173266985432	0.7795918131520334	53102107	39264618	50365611.0	0.7789115646258503	0.5605875152998776	588	458	817.0
pool	563798	Cyclobacteriaceae	family	0.9906144486056297	0.7547815881215513	18637051	18462132	24460231.0	0.9822485207100592	0.49404761904761907	169	166	336.0
pool	433	Acetobacteraceae	family	0.9978519027636245	0.7273164503584101	16061191	16026690	22035374.0	0.9294871794871795	0.35108958837772397	156	145	413.0
pool	1903409	Erwiniaceae	family	0.962812362617754	0.6585889653454023	15565603	14986755	22755855.0	0.9923076923076923	0.5258152173913043	780	774	1472.0
pool	1570339	Peptoniphilaceae	family	0.737553487863945	0.6012989197935583	1647570	1215171	2020910.0	0.42857142857142855	0.375	28	12	32.0
pool	194924	Desulfovibrionaceae	family	0.8569686760875349	0.582699540903127	34362438	29447533	50536393.0	0.8949044585987261	0.4090247452692867	314	281	687.0
pool	558415	Marinilabiliaceae	family	0.9142364896098628	0.5256759671206568	2615413	2391106	4548631.0	0.875	0.21	24	21	100.0
pool	186814	Thermoanaerobacteraceae	family	0.8770769681496673	0.5157091579333282	3034411	2661412	5160684.0	0.7636363636363637	0.3230769230769231	55	42	130.0
pool	543	Enterobacteriaceae	family	0.4157057804778889	0.4959848024719138	12057446	5012350	10105854.0	0.07635467980295567	0.45588235294117646	406	31	68.0
pool	255475	Aurantimonadaceae	family	0.9539689424159358	0.42458902794047904	5962344	5687891	13396227.0	0.9090909090909091	0.38961038961038963	66	60	154.0
pool	335929	Erythrobacteraceae	family	1.0	0.4098417832841552	2733216	2733216	6668954.0	1.0	0.36363636363636365	20	20	55.0
pool	31977	Veillonellaceae	family	0.8962626864125932	0.3329379775784168	1081472	969283	2911302.0	0.8571428571428571	0.15789473684210525	14	12	76.0
pool	203557	Verrucomicrobiaceae	family	0.9996733218328917	0.3052717420028276	3697829	3696621	12109280.0	0.9285714285714286	0.12380952380952381	14	13	105.0
pool	203492	Fusobacteriaceae	family	0.7654539670183298	0.2958330011750521	2574339	1970538	6660981.0	0.9078947368421053	0.1550561797752809	76	69	445.0
pool	186803	Lachnospiraceae	family	0.7011825629249397	0.2941170400181483	9348678	6555130	22287488.0	0.6071428571428571	0.2712765957446808	168	102	376.0
pool	75787	Rhodocyclaceae	family	0.06000581318266652	0.011067895554994885	784424	47070	4252841.0	0.09090909090909091	0.00641025641025641	11	1	156.0
pool	119043	Rhodobiaceae	family		0.0	69108	0	3962251.0		0.0	4	0	26.0
pool	1300	Streptococcaceae	family	0.0		1429214	0		0.0		17	0	
pool	224372	Alcanivoracaceae	family			26221	0				2	0	
pool	291294	Tetrahymenidae	family			31342	0				1	0	
pool	4070	Solanaceae	family			193543	0				2	0	
pool	85019	Brevibacteriaceae	family			5331	0				1	0	
pool	2005525	Tannerellaceae	family	1.0	0.3940518115570258	1539973	1539973	3908047.0	1.0	0.22448979591836735	11	11	49.0
pool	9895	Bovidae	family			142374	0				11	0	
pool	2042895	Gottschalkiaceae	family			138557	0				2	0	
pool	2146	Acholeplasmataceae	family			40322	0				1	0	
